,station_id,date_from,date_to,altitude,latitude,longitude,name,state
857,4592,1949-01-01,2021-12-31,356,49.3278,12.0871,Schwandorf,Bayern
873,4704,1988-05-01,2021-12-31,508,47.5776,9.7404,Sigmarszell-Zeisertsweiler,Bayern
875,4706,1981-01-01,2021-12-31,358,48.2718,13.0273,Simbach/Inn,Bayern
897,4911,1883-01-01,2021-12-31,351,48.8275,12.5597,Straubing,Bayern
912,5017,1948-01-01,2021-12-31,633,50.4002,11.3888,Teuschnitz,Bayern
917,5046,1967-01-01,2021-12-31,501,49.8576,12.3542,Tirschenreuth-Lodermühl,Bayern
937,5111,1915-01-01,2021-12-31,560,48.0311,12.5396,Trostberg,Bayern
945,5149,1937-01-01,2021-12-31,306,49.5741,10.1915,Gollhofen,Bayern
979,5397,1881-01-01,2021-12-31,440,49.6662,12.1844,Weiden,Bayern
982,5404,1885-01-01,2021-12-31,477,48.4024,11.6946,Weihenstephan-Dürnast,Bayern
992,5440,1879-01-01,2021-12-31,439,49.0115,10.9308,Weißenburg-Emetzheim,Bayern
1006,5538,1920-01-01,2021-12-31,551,47.8827,11.1576,Wielenbach (Demollstr.),Bayern
1035,5705,1881-01-01,2021-12-31,268,49.7704,9.9576,Würzburg,Bayern
1049,5792,1900-08-01,2021-12-31,965,47.421,10.9848,Zugspitze,Bayern
1051,5800,1998-01-01,2021-12-31,615,49.028,13.2385,Zwiesel,Bayern
1059,5856,1997-01-03,2021-12-31,476,48.5451,13.3532,Fürstenzell,Bayern
1069,5941,1938-01-01,2021-12-31,686,47.6754,12.4698,Reit im Winkl,Bayern
1080,6158,1999-07-01,2021-12-31,454,49.2249,10.6085,Weidenbach-Weiherschneidbach,Bayern
1105,6312,2004-11-01,2020-09-30,362,49.5314,10.6418,Markt Erlbach-Mosbach,Bayern
1107,6336,2005-11-01,2021-12-31,288,50.0132,9.654,Lohr/Main-Halsbach,Bayern
