time,73,142,151,154,191,217,232,282,320,856,983,1161,1262,1279,1332,1357,1550,1587,1721,1735,1886,2023,2261,2290,2319,2480,2559,2597,2600,2680,2700,2708,2750,3147,3244,3271,3319,3366,3379,3485,3571,3621,3667,3668,3679,3730,3739,3836,3857,3875,3975,4104,4261,4287,4354,4377,4559,4592,4704,4706,4911,5017,5046,5111,5149,5397,5404,5440,5705,5792,5800,5856,5941,6158,6312,6336,6346,6347,7075,7105,7350,7369,7370,7394,7395,7412,7424,7431,13710,15555
2017-01-01,9.38,9.19,9.3,8.91,9.61,8.94,9.15,9.53,9.08,9.37,9.33,9.04,9.18,10.08,9.53,7.34,8.06,9.07,8.97,8.26,9.08,9.26,8.18,8.02,8.72,11.06,8.55,9.63,10.57,9.14,9.44,8.2,8.95,9.27,8.67,9.02,10.14,9.14,10.4,9.2,8.43,9.54,8.92,10.04,8.71,7.19,8.17,8.82,7.73,8.79,8.6,9.68,9.48,9.55,8.49,8.9,8.59,9.46,9.69,9.62,9.48,7.51,8.04,9.18,9.84,9.07,9.13,9.5,10.36,-3.86,7.75,9.09,7.54,8.86,9.1,9.48,9.2,9.79,9.3,8.49,8.26,8.85,8.26,7.69,9.36,8.98,8.94,8.72,9.58,8.51
2018-01-01,10.73,10.16,10.39,9.98,10.58,9.86,10.05,10.74,10.05,10.31,10.33,10.11,10.18,11.3,10.66,8.3,8.91,10.19,10.33,9.53,10.03,10.38,9.14,8.94,9.65,12.2,9.45,10.76,11.64,10.2,10.68,9.08,10.0,10.61,9.47,10.53,11.22,10.19,11.31,10.05,9.66,10.5,10.16,11.2,9.92,8.2,9.36,9.94,8.62,9.84,9.82,10.8,10.48,10.67,9.83,10.2,9.47,10.5,10.69,10.85,10.79,8.65,9.16,10.22,10.91,10.16,10.15,10.41,11.66,-3.0,8.72,10.48,8.61,9.97,10.33,10.62,10.04,11.05,10.36,9.44,9.35,9.85,9.32,8.71,10.61,10.04,9.91,9.6,10.61,9.42
2019-01-01,10.16,9.81,10.09,9.57,10.19,9.55,9.66,10.3,9.68,9.95,9.88,9.58,9.84,10.77,10.24,8.2,8.64,9.93,9.78,9.17,9.56,9.97,9.03,8.68,9.2,11.66,8.91,10.31,11.17,9.2,10.25,8.77,9.69,10.15,9.04,10.07,10.63,9.69,10.97,9.57,9.2,10.14,9.54,10.66,9.4,7.66,9.19,9.56,8.18,9.56,9.55,10.45,10.16,10.27,9.44,9.78,9.39,10.22,10.14,10.3,10.28,8.49,8.86,9.92,10.46,9.72,9.72,10.05,11.17,-3.2,8.41,10.01,8.17,9.48,9.8,10.12,9.78,10.66,9.96,9.26,9.23,9.42,9.05,8.59,10.06,9.64,9.69,9.06,10.33,8.99
