"station_id","date_from","date_to","altitude","latitude","longitude","name","state","geometry"
19455,"2022-06-06","2022-09-07",26,51.5388,6.4143,"Issum/Niederrhein","Nordrhein-Westfalen","0101000020E610000063EE5A423EA81940DB8AFD65F7C44940"
19456,"2022-06-06","2022-09-07",13,51.7053,6.0542,"Goch-Kessel","Nordrhein-Westfalen","0101000020E6100000D6C56D348037184035EF384547DA4940"
19457,"2022-06-06","2022-09-07",20,51.605,6.2313,"Kevelaer-Weeze","Nordrhein-Westfalen","0101000020E61000005B423EE8D9EC18403D0AD7A370CD4940"
19459,"2022-06-06","2022-09-07",38,51.2415,6.4649,"Mönchengladbach-Neuwerk","Nordrhein-Westfalen","0101000020E610000040A4DFBE0EDC1940F4FDD478E99E4940"
19460,"2022-06-06","2022-09-07",29,51.453,6.3659,"Kerken-Nieukerk","Nordrhein-Westfalen","0101000020E6100000F46C567DAE761940448B6CE7FBB94940"
19461,"2022-06-06","2022-09-07",63,51.1161,6.4096,"Mönchengladbach/Obere Niers","Nordrhein-Westfalen","0101000020E610000033C4B12E6EA319406688635DDC8E4940"
19462,"2022-06-06","2022-09-07",23,51.6093,6.3604,"Sonsbeck","Nordrhein-Westfalen","0101000020E6100000E2E995B20C711940F5B9DA8AFDCD4940"
19463,"2022-06-06","2022-09-07",37,51.3326,6.4638,"Tönisvorst-St. Tönis","Nordrhein-Westfalen","0101000020E6100000098A1F63EEDA1940265305A392AA4940"
19464,"2022-06-06","2022-09-07",34,51.4538,6.2817,"Straelen/Niederrhein","Nordrhein-Westfalen","0101000020E6100000FF21FDF67520194060764F1E16BA4940"
19467,"2022-06-06","2022-09-07",24,51.6652,6.2581,"Uedem/Niederrhein","Nordrhein-Westfalen","0101000020E6100000F163CC5D4B0819404CA60A4625D54940"
19469,"2022-06-06","2022-09-07",29,51.4077,6.3243,"Wachtendonk/Niederrhein","Nordrhein-Westfalen","0101000020E6100000075F984C154C1940234A7B832FB44940"
